,Age,Gender,Country,Mental health issue inteferes with work,Do you work remotely?,mental health benefits by employer,Negative impacts from discussing mental health issues with employer,Comfortable discussing mental health issues with corworkers,Comfortable discussing mental health issues with direct supervisor(s),Bring up mental health issues in an interview,year,Diagonosed with a mental health condition,Mental health conditionn(s)
0,37.0,Female,United States,Often,No,Yes,No,Yes,Yes,No,2014,,
1,44.0,Male,United States,Rarely,No,Don't know,Maybe,No,No,No,2014,,
4,31.0,Male,United States,Never,Yes,Yes,No,Yes,Yes,Yes,2014,,
5,33.0,Male,United States,Sometimes,No,Yes,No,Yes,Yes,No,2014,,
6,35.0,Female,United States,Sometimes,Yes,No,Maybe,Yes,No,No,2014,,
8,42.0,Female,United States,Sometimes,No,Yes,Maybe,Yes,Yes,No,2014,,
10,31.0,Male,United States,Sometimes,Yes,Don't know,No,Yes,Yes,No,2014,,
12,42.0,Female,United States,Sometimes,No,Yes,Yes,Yes,Yes,Maybe,2014,,
13,36.0,Male,United States,Never,No,Don't know,No,Yes,Yes,No,2014,,
15,29.0,Female,United States,Rarely,No,Yes,No,Yes,Yes,Maybe,2014,,
17,32.0,Male,United States,Sometimes,No,Yes,Maybe,Yes,Yes,No,2014,,
18,46.0,Male,United States,Sometimes,Yes,Yes,No,Yes,Yes,No,2014,,
20,29.0,Male,United States,Sometimes,No,Yes,Maybe,Yes,Yes,No,2014,,
21,31.0,Male,United States,Never,Yes,No,No,Yes,Yes,No,2014,,
22,46.0,Male,United States,Often,Yes,Yes,Maybe,Yes,Yes,No,2014,,
23,41.0,Male,United States,Never,No,Don't know,Maybe,No,No,No,2014,,
24,33.0,Male,United States,Rarely,No,Yes,No,Yes,Yes,No,2014,,
25,35.0,Male,United States,Sometimes,No,Yes,Yes,Yes,Yes,No,2014,,
26,33.0,Male,United States,,No,Don't know,Maybe,Yes,No,No,2014,,
27,35.0,Female,United States,Rarely,Yes,Yes,No,Yes,Yes,Maybe,2014,,
28,34.0,Male,United States,Sometimes,Yes,Don't know,No,Yes,No,No,2014,,
31,31.0,Male,United States,Rarely,Yes,No,Yes,No,No,No,2014,,
33,42.0,Male,United States,Sometimes,Yes,Yes,Maybe,Yes,Yes,Maybe,2014,,
34,40.0,Female,United States,Sometimes,No,Yes,Maybe,Yes,No,No,2014,,
35,27.0,Male,United States,Rarely,No,No,No,Yes,Yes,Maybe,2014,,
38,50.0,Male,United States,,No,Yes,No,Yes,Yes,No,2014,,
39,35.0,Male,United States,Rarely,Yes,Yes,No,Yes,Yes,Maybe,2014,,
41,35.0,Male,United States,,Yes,Yes,Yes,Yes,No,No,2014,,
44,30.0,Male,United States,Sometimes,No,Don't know,No,No,No,No,2014,,
45,38.0,Female,United States,Sometimes,No,Yes,No,Yes,Yes,No,2014,,
47,34.0,Male,United States,,No,No,No,Yes,Yes,Maybe,2014,,
49,30.0,Male,United States,Rarely,No,Yes,Maybe,Yes,Yes,No,2014,,
50,22.0,Male,United States,Often,No,No,Maybe,No,No,No,2014,,
51,33.0,Male,United States,,Yes,Don't know,No,Yes,Yes,Maybe,2014,,
52,31.0,Male,United States,,Yes,Don't know,Maybe,Yes,Yes,Maybe,2014,,
53,32.0,Male,United States,Never,Yes,Don't know,Maybe,Yes,Yes,No,2014,,
55,27.0,Male,United States,Rarely,No,Yes,Maybe,No,No,No,2014,,
56,32.0,Male,United States,,Yes,Don't know,No,Yes,Yes,No,2014,,
57,24.0,Male,United States,Sometimes,Yes,Don't know,No,Yes,Yes,Yes,2014,,
58,26.0,Male,United States,,No,No,No,Yes,Yes,Maybe,2014,,
60,44.0,Male,United States,Sometimes,No,Yes,Yes,Yes,No,No,2014,,
65,40.0,Male,United States,Sometimes,Yes,Yes,Yes,Yes,No,No,2014,,
67,36.0,Male,United States,Sometimes,Yes,Yes,Maybe,Yes,Yes,Maybe,2014,,
68,31.0,Female,United States,,Yes,Don't know,Maybe,Yes,No,No,2014,,
69,34.0,Male,United States,Rarely,Yes,No,Maybe,Yes,No,No,2014,,
72,23.0,Female,United States,Rarely,No,Yes,Maybe,Yes,Yes,No,2014,,
74,33.0,Male,United States,Never,No,Don't know,Maybe,Yes,Yes,No,2014,,
76,25.0,Male,United States,,Yes,Yes,No,Yes,Yes,Maybe,2014,,
77,31.0,Male,United States,Sometimes,Yes,No,No,Yes,Yes,Maybe,2014,,
78,32.0,Male,United States,Sometimes,Yes,No,Yes,Yes,No,No,2014,,
80,38.0,Male,United States,Sometimes,Yes,Yes,No,Yes,Yes,Maybe,2014,,
83,27.0,Female,United States,Often,Yes,Yes,Maybe,Yes,Yes,No,2014,,
84,33.0,Male,United States,Never,No,No,Yes,No,No,No,2014,,
85,31.0,Male,United States,,No,Don't know,No,Yes,Yes,Maybe,2014,,
87,34.0,Female,United States,Rarely,Yes,Yes,Yes,Yes,Yes,No,2014,,
88,29.0,Female,United States,Sometimes,No,Yes,Maybe,Yes,Yes,No,2014,,
89,32.0,Male,United States,,No,Don't know,No,Yes,Yes,No,2014,,
90,31.0,Male,United States,Never,No,Yes,No,Yes,Yes,No,2014,,
91,40.0,Male,United States,Sometimes,No,No,No,Yes,Yes,Yes,2014,,
92,34.0,Male,United States,,No,Don't know,Maybe,Yes,No,No,2014,,
95,29.0,Male,United States,Never,No,Don't know,No,Yes,Yes,Maybe,2014,,
96,24.0,Male,United States,Rarely,No,Don't know,Maybe,Yes,No,No,2014,,
98,33.0,Male,United States,Sometimes,No,No,Maybe,Yes,No,No,2014,,
99,30.0,Male,United States,Often,No,No,No,Yes,Yes,Maybe,2014,,
101,44.0,Female,United States,Never,No,Yes,Maybe,No,Yes,No,2014,,
102,25.0,Male,United States,,No,Don't know,No,Yes,Yes,No,2014,,
103,33.0,Male,United States,Sometimes,Yes,Yes,No,Yes,Yes,Maybe,2014,,
104,29.0,Male,United States,Never,No,Yes,No,Yes,Yes,No,2014,,
105,35.0,Male,United States,Rarely,No,Yes,No,Yes,Yes,No,2014,,
106,35.0,Male,United States,Sometimes,Yes,Don't know,No,Yes,Yes,No,2014,,
108,34.0,Male,United States,Never,Yes,Yes,Maybe,No,No,No,2014,,
109,32.0,Male,United States,Sometimes,No,Yes,Maybe,Yes,Yes,No,2014,,
110,22.0,Male,United States,Sometimes,No,Yes,Yes,No,No,No,2014,,
111,28.0,Male,United States,Sometimes,No,Yes,No,Yes,Yes,No,2014,,
112,45.0,Male,United States,Rarely,Yes,Yes,No,Yes,Yes,Yes,2014,,
113,32.0,Male,United States,Never,No,Yes,Maybe,Yes,Yes,No,2014,,
114,28.0,Male,United States,,No,Don't know,Maybe,Yes,No,No,2014,,
118,18.0,Male,United States,Rarely,Yes,No,No,Yes,No,No,2014,,
119,35.0,Male,United States,,Yes,Don't know,No,Yes,Yes,Maybe,2014,,
120,29.0,Male,United States,Never,No,Yes,Yes,No,No,No,2014,,
121,25.0,Male,United States,,Yes,Don't know,No,Yes,Yes,No,2014,,
122,33.0,Male,United States,Sometimes,Yes,Don't know,No,Yes,Yes,No,2014,,
123,36.0,Male,United States,Often,No,Yes,Maybe,No,No,No,2014,,
125,27.0,Male,United States,Never,No,Yes,Yes,Yes,No,No,2014,,
127,32.0,Male,United States,Rarely,No,Yes,Yes,No,Yes,No,2014,,
130,33.0,Male,United States,Sometimes,No,Yes,Maybe,Yes,Yes,No,2014,,
131,32.0,Male,United States,Rarely,Yes,No,Maybe,Yes,Yes,No,2014,,
132,27.0,Male,United States,Never,No,Don't know,No,Yes,Yes,Maybe,2014,,
137,39.0,Male,United States,Often,No,Yes,No,Yes,Yes,No,2014,,
138,29.0,Female,United States,,No,Don't know,Maybe,Yes,No,No,2014,,
140,38.0,Male,United States,Sometimes,No,Don't know,Maybe,Yes,Yes,No,2014,,
142,35.0,Male,United States,Never,Yes,Don't know,Yes,Yes,No,No,2014,,
143,-29.0,Male,United States,,Yes,Yes,No,Yes,Yes,No,2014,,
144,30.0,Female,United States,,Yes,Don't know,Maybe,Yes,Yes,No,2014,,
145,37.0,Male,United States,Rarely,No,Yes,Maybe,Yes,Yes,Maybe,2014,,
147,23.0,Male,United States,Sometimes,No,No,Yes,No,No,No,2014,,
149,29.0,Female,United States,,Yes,Don't know,Maybe,No,Yes,No,2014,,
151,32.0,Male,United States,Never,No,Don't know,No,Yes,Yes,No,2014,,
153,36.0,Male,United States,Never,No,Don't know,No,Yes,Yes,Maybe,2014,,
155,25.0,Male,United States,Sometimes,No,Don't know,Maybe,Yes,Yes,No,2014,,
156,27.0,Male,United States,Sometimes,No,Don't know,No,No,Yes,No,2014,,
157,26.0,Male,United States,Often,No,Don't know,Yes,Yes,Yes,No,2014,,
158,27.0,Male,United States,Rarely,Yes,No,Maybe,Yes,Yes,No,2014,,
159,25.0,Male,United States,Sometimes,No,Don't know,Maybe,Yes,No,No,2014,,
161,25.0,Female,United States,Sometimes,No,Yes,Yes,Yes,Yes,No,2014,,
162,31.0,Male,United States,Never,No,Yes,No,Yes,Yes,No,2014,,
163,26.0,Male,United States,Rarely,No,Don't know,Maybe,Yes,Yes,No,2014,,
164,33.0,Female,United States,Sometimes,No,No,No,Yes,Yes,No,2014,,
166,34.0,Male,United States,Never,No,No,Maybe,Yes,Yes,No,2014,,
167,42.0,Male,United States,,No,No,Maybe,Yes,Yes,No,2014,,
173,23.0,Female,United States,,No,Don't know,Maybe,Yes,Yes,No,2014,,
175,31.0,Male,United States,Never,No,Don't know,Maybe,No,Yes,No,2014,,
